name,desc,type,label,range,units,unique values,missing .,unique mv codes,missing .*,"missing """"",mean,std. dev
v231,What type of organisation work/worked for,numeric (double),tporgwk,"[1,6]",1,6,"0/39,325",4,"3,496/39,325",,,
v232,Trust in the European Parliament,numeric (double),"trstep, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"3,232/39,325",,,
v233,Trust in the legal system,numeric (double),"trstlgl, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"737/39,325",,,
v234,Trust in the police,numeric (double),"trstplc, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"285/39,325",,,
v235,Trust in politicians,numeric (double),"trstplt, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"500/39,325",,,
v236,Trust in country's parliament,numeric (double),"trstprl, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"791/39,325",,,
v237,Trust in political parties,numeric (double),"trstprt, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"701/39,325",,,
v238,Trust in the United Nations,numeric (double),"trstun, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"3,144/39,325",,,
v239,"TV watching, news/politics/current affairs on average weekday",numeric (double),tvpol,"[0,7]",1,8,"0/39,325",4,"2,153/39,325",,,
v240,"TV watching, total time on average weekday",numeric (double),tvtot,"[0,7]",1,8,"0/39,325",3,"71/39,325",,,
v241,Any period of unemployment and work seeking lasted 12 months or more,numeric (double),uemp12m,"[1,2]",1,2,"0/39,325",4,"28,261/39,325",,,
v242,Ever unemployed and seeking work for a period more than three months,numeric (double),uemp3m,"[1,2]",1,2,"0/39,325",3,"168/39,325",,,
v243,Any period of unemployment and work seeking within last 5 years,numeric (double),uemp5yr,"[1,2]",1,2,"0/39,325",4,"28,257/39,325",,,
v244,"Doing last 7 days: unemployed, actively looking for job",numeric (double),uempla,"[0,1]",1,2,"0/39,325",,,,,
v245,"Partner doing last 7 days: unemployed, actively looking for job",numeric (double),uemplap,"[0,1]",1,2,"0/39,325",,,,,
v246,"Doing last 7 days: unemployed, not actively looking for job",numeric (double),uempli,"[0,1]",1,2,"0/39,325",,,,,
v247,"Partner doing last 7 days: unemployed, not actively looking for job",numeric (double),uemplip,"[0,1]",1,2,"0/39,325",,,,,
v248,Voted last national election,numeric (double),vote,"[1,3]",1,3,"0/39,325",3,"323/39,325",,,
v249,Allowed to decide how daily work is organised,numeric (double),"wkdcorga, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",4,"3,511/39,325",,,
v250,Total contracted hours per week in main job overtime excluded,numeric (double),"wkhct, but 107 nonmissing values are not labeled","[0,168]",1,107,"0/39,325",4,"5,980/39,325",,,
v251,Total hours normally worked per week in main job overtime included,numeric (double),"wkhtot, but 112 nonmissing values are not labeled","[0,168]",1,112,"0/39,325",4,"5,041/39,325",,,
v252,"Hours normally worked a week in main job overtime included, partner",numeric (double),"wkhtotp, but 91 nonmissing values are not labeled","[0,168]",1,91,"0/39,325",4,"25,683/39,325",,,
v253,"Were happy, how often past week",numeric (double),wrhpp,"[1,4]",1,4,"0/39,325",3,"365/39,325",,,
v254,"Paid work in another country, period more than 6 months last 10 years",numeric (double),wrkac6m,"[1,2]",1,2,"0/39,325",4,"3,221/39,325",,,
v255,Employment contract unlimited or limited duration,numeric (double),wrkctra,"[1,3]",1,3,"0/39,325",4,"7,688/39,325",,,
v256,Worked in another organisation or association last 12 months,numeric (double),wrkorg,"[1,2]",1,2,"1,195/39,325",4,"96/39,325",,,
v257,Worked in political party or action group last 12 months,numeric (double),wrkprty,"[1,2]",1,2,"0/39,325",3,"75/39,325",,,
v258,Year of birth,numeric (double),"yrbrn, but 90 nonmissing values are not labeled","[1900,2000]",1,90,"0/39,325",3,"97/39,325",,,
v259,Year of birth of tenth person in household,numeric (double),"yrbrn10, but 15 nonmissing values are not labeled","[1989,2015]",1,15,"14,320/39,325",5,"24,962/39,325",,,
v260,Year of birth of eleventh person in household,numeric (double),"yrbrn11, but 11 nonmissing values are not labeled","[1994,2015]",1,11,"18,264/39,325",4,"21,038/39,325",,,
v261,Year of birth of twelfth person in household,numeric (double),"yrbrn12, but 8 nonmissing values are not labeled","[1994,2014]",1,8,"21,843/39,325",4,"17,473/39,325",,,
v262,Year of birth of thirteenth person in household,numeric (double),"yrbrn13, but 1 nonmissing value is not labeled","[2012,2012]",1,1,"35,393/39,325",3,"3,931/39,325",,,
v263,Year of birth of second person in household,numeric (double),"yrbrn2, but 104 nonmissing values are not labeled","[1900,2014]",1,104,"0/39,325",4,"8,690/39,325",,,
v264,Year of birth of third person in household,numeric (double),"yrbrn3, but 99 nonmissing values are not labeled","[1902,2015]",1,99,"0/39,325",4,"22,269/39,325",,,
v265,Year of birth of fourth person in household,numeric (double),"yrbrn4, but 92 nonmissing values are not labeled","[1920,2015]",1,92,"0/39,325",4,"29,218/39,325",,,
v266,Year of birth of fifth person in household,numeric (double),"yrbrn5, but 79 nonmissing values are not labeled","[1921,2015]",1,79,"0/39,325",4,"35,664/39,325",,,
v267,Year of birth of sixth person in household,numeric (double),"yrbrn6, but 67 nonmissing values are not labeled","[1927,2015]",1,67,"0/39,325",4,"38,036/39,325",,,
v268,Year of birth of seventh person in household,numeric (double),"yrbrn7, but 42 nonmissing values are not labeled","[1925,2015]",1,42,"2,097/39,325",5,"36,785/39,325",,,
v269,Year of birth of eighth person in household,numeric (double),"yrbrn8, but 30 nonmissing values are not labeled","[1935,2015]",1,30,"6,972/39,325",5,"32,190/39,325",,,
v270,Year of birth of ninth person in household,numeric (double),"yrbrn9, but 25 nonmissing values are not labeled","[1935,2015]",1,25,"12,820/39,325",5,"26,438/39,325",,,
